tcp_port,totalDifficulty,forkID,ip,is_dyndial,version,is_inbound,caps,head,last_time,udp_port,networkID,fullname,id,is_eth_handshake_complete,is_eth_handshake
38844,58750003716598352816469,{[220 233 108 45] 0},70.178.32.230,False,68,True,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x48c9b53825002ae53a5baf983f46bb43af3b1312040190ae695bb778ab4cda5f,2024-01-24T09:06:30+08:00,38844,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,36c6f3d645d42ef747e10b4642c1ee453f6f44e21e9522c36763114e2d224c90,True,True
41580,58750003716598352816469,{[220 233 108 45] 0},130.44.141.181,False,68,True,[eth/66 eth/67 eth/68],0xfa32c17371ffbc639106603c95b958209ae2a66f8e24f24a10e85222dfe74d69,2024-01-24T10:38:29+08:00,41580,1,reth/v0.1.0-alpha.16-d8a9b58/x86_64-unknown-linux-gnu,a62ec25b6b36ac0df1201f33b3a7d7242ef464bbdcbaca50697f9a25c2043a44,True,True
30404,58750003716598352816469,{[220 233 108 45] 0},23.113.152.136,True,68,False,[eth/66 eth/67 eth/68 nodedata/1],0x0508d14ecd3131c76b2f4b4431914150f6d0b80ca4655dcc04ecc63a3a8ad251,2024-01-24T17:30:09+08:00,30404,1,Nethermind/v1.25.2+78c7bf5f/linux-x64/dotnet8.0.1,378791e266f7f6c7ecb19693f313f3639e03e3e6041014cf4de5e1d378fc61dc,True,True
39734,58750003716598352816469,{[252 100 236 4] 1150000},3.236.20.196,False,68,True,[eth/67 eth/68 snap/1],0x39e44ec7afd33fedde571328fe3c9726f12cf316f192e1fde364dbdb97c2639a,2024-01-24T09:08:32+08:00,39734,1,Geth/v1.13.4-stable-3f907d6a/linux-amd64/go1.21.3,b29daf8af39aaa25e71a9786073bd5233e0d7a168ca2ea696a2afb769576163f,True,True
38776,58750003716598352816469,{[220 233 108 45] 0},46.208.249.58,False,68,True,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0xf4e7cc6452b110b4b909c837708552854b122028b9817447303b5b9b28d03a3a,2024-01-24T09:09:19+08:00,38776,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,d2daeae3b6834d9123995a3406db5d949e625aa726eecabc000fb3aa19933506,True,True
51768,58750003716598352816469,{[220 233 108 45] 0},3.144.14.103,False,68,True,[eth/66 eth/67 eth/68],0x30d15cc6b9efc9ebcdfa5caf4ff28583a704ca187f2a26bee137626e18b5bd3b,2024-01-24T17:34:25+08:00,51768,1,Geth/v1.13.2-stable-dc34fe82/linux-amd64/go1.21.1,024ef87d1f6e3c12d47e1cc65a01ee1cf3246ba0d12068b3f76936d36ddfeee3,True,True
48260,58750003716598352816469,{[220 233 108 45] 0},13.230.72.34,False,68,True,[eth/67 eth/68 snap/1],0x0fe0cacb004dcdb9230003ad599f467b53ce0deb5885e20785db71034593470c,2024-01-24T09:57:06+08:00,48260,1,Geth/v1.13.5-stable/linux-amd64/go1.21.4,27601589cba3eec7e90e26ea104ae4b2dc2f57a847d08bb03fd82a9c919f7d18,True,True
30303,58750003716598352816469,{[252 100 236 4] 1150000},13.58.103.199,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x67c7ae905abfb9b0acc26553f6e1b8aba809fce8c55aa289a920978c6bbe84f0,2024-01-24T18:02:06+08:00,30303,1,erigon/2.48.0/linux-amd64/go1.19.12,4e9017ef8892795ddcb04e8763443c2b916776e790a4b59b1c2ed8373d43b002,True,True
37512,58750003716598352816469,{[220 233 108 45] 0},43.242.236.210,False,68,True,[eth/67 eth/68 snap/1],0x985e90e04401c416fab4055a52df39698864a57d71cb36e069d133bc32e7d19d,2024-01-24T17:28:32+08:00,37512,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.20.5,4efe6937a86fc330f1ddcebb8501f7a89549c024dec694d30f7cc31dafdf82b7,True,True
30304,58750003716598352816469,{[220 233 108 45] 0},87.152.123.141,True,67,False,[eth/66 eth/67],0x146e1e3c93df87c0d038e6778f2124146e7f9cbfe10e0ecad3177ec0ccf13282,2024-01-24T15:38:52+08:00,30304,1,erigon/v2.55.1/linux-amd64/go1.20.7,f201454f357e44560e9993686418604353ea2ca308889396b123d66b2ff8ae54,True,True
